Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,4,2-s2.0-80053030909,2011,Applying recommender methodologies in tourism sector,"Nowadays, there is a constant need for personalization in recommender systems. Thus, they try to bring it by making suggestion and providing information about items available. There are numerous options of methods to be employed in recommender systems. However, they still suffer from critical limitations and drawbacks. Therefore, current recommender techniques try to minimize the affects of such drawbacks. In this work we describe two different recommender methodologies proposed. To do so, we implemented such methodologies in a real recommender system for tourism. Afterwards, we analyzed and compared the recommendation given by both methodologies in order to find out if they are effective and able to deal with common drawbacks. © 2011 Springer-Verlag Berlin Heidelberg.",Conference Paper,Lucas J.P.; Da Silva Coelho B.E.; Garcia M.N.M.; De Almeida Figueiredo A.M.; Martins C.L.,Recommender Systems; Tourism; User Modelling,Recommender Systems;Tourism;User Modelling;Personalizations;Multi agent systems,Spain;Portugal,
,,,4,WOS:000458589900022,2019,A recommender approach based on customer emotions,"On electronic commerce websites, the recommender is typically based on a global evaluation of the product by the customer. This preference information is interesting, but not sufficient. Our approach is based on the assumption of the inevitable role of emotions in product appreciation. Our purpose is to evaluate the performance of the approach based on emotions and to compare it with the traditional approach of unique preference. The first step is to collect data. In the first part of the study, we simulate a database of customer/product/evaluation to test our method and to study the influence of matrix sparsity. The second part of the study is applied to real data. The product considered to illustrate the approach is film, a product for which preferences are mostly guided by emotions. We collect the data via an online questionnaire, given a sparse matrix of evaluation (people have not seen all the films). A use case, which consist in making spontaneous recommendations to customers on the basis of their previous ratings, is described. Considering that the behavior of a customer is not random, the notion of user profiles in terms of preference and emotions is introduced. The proposed recommender is tested by removing preference data and predicting it based on the rest of the database. A performance criterion is calculated, measuring the relevance of the proposed products. The results show that (1) the matrix sparsity does not have a significant influence on the results and robustness of our method and (2) consideration of customers' emotional assessments of products improves recommendation performance. (C) 2019 Elsevier Ltd. All rights reserved.",Review,"Poirson, E.; Da Cunha, C.",Recommender systems; Preference; Emotions; Customer profile; User evaluations,Recommender systems;Preference;Emotions;Customer profile;User evaluations,France,
,,,4,2-s2.0-85051557599,2018,Personalized tourist package recommendation using graph based approach,"Location Based Social Networks (LBSN) benefit the users by allowing them to share their locations and life moments with their friends. The users can also review the locations they have visited. Classical recommender systems provide users a ranked list of single items. This is not suitable for applications like trip planning,where the recommendations should contain multiple items in an appropriate sequence. The problem of generating such recommendations is challenging due to various critical aspects, which includes user interest, budget constraints and high sparsity in the available data used to solve the problem. In this paper, we propose a graph based approach to recommend a set of personalized travel packages. Each recommended package comprises of a sequence of multiple Point of Interests (POIs). Given the current location and spatio-temporal constraints, our goal is to recommend a package which satisfies the constraints. This approach utilizes the data collected from LBSNs to learn user preferences and also models the location popularity. © 2018 Association for Computing Machinery.",Conference Paper,Hti R.; Desarkar M.S.,Global Sequence Pattern; Location Based Social Network; Point Of Interest; Recommender Systems; Route Planning; Travel Package Recommendation,Global Sequence Pattern;Location Based Social Network;Point Of Interest;Recommender Systems;Route Planning;Travel Package Recommendation;Budget control;Graphic methods;Location-based social networks;Sequence patterns;Travel packages;Location,India,
,,,4,WOS:000457595100003,2019,Scalable modelling and recommendation using wiki-based crowdsourced repositories,"Wiki-based crowdsourced repositories have increasingly become an important source of information for users in multiple domains. However, as the amount of wiki-based data increases, so does the information overloading for users. Wikis, and in general crowdsourcing platforms, raise trustability questions since they do not generally store user background data, making the recommendation of pages particularly hard to rely on. In this context, this work explores scalable multi-criteria profiling using side information to model the publishers and pages of wiki-based crowdsourced platforms. Based on streams of publisher-page-review triads, we have modelled publishers and pages in terms of quality and popularity using different criteria and user-page-view events collected via a wiki platform. Our modelling approach classifies statistically, both page-review (quality) and pageview (popularity) events, attributing an appropriate rating. The quality-related information is then merged employing Multiple Linear Regression as well as a weighted average. Based on the quality and popularity, the resulting page profiles are then used to address the problem of recommending the most interesting wiki pages per destination to viewers. This paper also explores the parallelisation of profiling and recommendation algorithms using wiki-based crowdsourced distributed data repositories as data streams via incremental updating. The proposed method has been successfully evaluated using Wikivoyage, a tourism crowdsourced wiki-based repository.",Article,"Leal, F.; Veloso, B.M.; Malheiro, B.; Gonzalez-Velez, H.; Burguillo, J.C.",Modelling; Scalable data mining; Wiki-based crowdsourcing; Parallel processing; Reputation; User profiling; Cloud computing; Recommender systems,Modelling;Scalable data mining;Wiki-based crowdsourcing;Parallel processing;Reputation;User profiling;Cloud computing;Recommender systems,Portugal;Spain;Ireland,2-s2.0-85059190444
,,,4,2-s2.0-84938723277,2007,SEI-Tur: A system based on composed web-service discovery to support the creation of trip plans,"In this paper we present a system for the creation of both tourist and business trip plans. SEI-Tur is a recommender system that uses Web services in order to create complete and consistent tours, based on user preferences, combining travel, lodging, food supply and local event programming. For each component of the tour, a domain ontology has been developed and the discovery and selection of the best services is based on a sophisticated service selection and composition tool. © 2007 IEEE.",Conference Paper,Schiel U.; Souza Baptista C.; De Jesus Maia A.; De Andrade F.,Recommender systems; Trip planning; Web service composition,Recommender systems;Trip planning;Web service composition;Food supply;Social networking (online);User interfaces;Websites;Domain ontologies;Service selection;Web service discovery;Web services,Brazil,
,,,4,2-s2.0-85046364442,2018,Smart music player integrating facial emotion recognition and music mood recommendation,"Songs, as a medium of expression, have always been a popular choice to depict and understand human emotions. Reliable emotion based classification systems can go a long way in helping us parse their meaning. However, research in the field of emotion-based music classification has not yielded optimal results. In this paper, we present an affective cross-platform music player, EMP, which recommends music based on the real-time mood of the user. EMP provides smart mood based music recommendation by incorporating the capabilities of emotion context reasoning within our adaptive music recommendation system. Our music player contains three modules: Emotion Module, Music Classification Module and Recommendation Module. The Emotion Module takes an image of the user's face as an input and makes use of deep learning algorithms to identify their mood with an accuracy of 90.23%. The Music Classification Module makes use of audio features to achieve a remarkable result of 97.69% while classifying songs into 4 different mood classes. The Recommendation Module suggests songs to the user by mapping their emotions to the mood type of the song, taking into consideration the preferences of the user. © 2017 IEEE.",Conference Paper,Gilda S.; Zafar H.; Soni C.; Waghurdekar K.,Artificial neural networks; Emotion recognition; Multi-layer neural network; Music information retrieval; Recommender systems,Artificial neural networks;Emotion recognition;Multi-layer neural network;Music information retrieval;Recommender systems;Deep learning;Face recognition;Network layers;Neural networks;Search engines;Speech recognition;Wireless telecommunication systems;Classification system;Context reasoning;Facial emotions;Music classification;Music recommendation;Music Recommendation System;Audio acoustics,India,
,,,4,2-s2.0-58149203535,2009,STRS: Social network based recommender system for tourism enhanced with trust,"Nowadays, the development and use of Recommender Systems has grown significantly as a tool to counteract the overload information problem, by selecting a subset of personalized items from a huge set of information based on user preferences. On the other hand, Multi-Agent System applications have shown to be an important area where the Recommender System theory can be applied. This paper presents a tourism Recommender System architecture integrating Multi-Agent Technology and Social Network Analysis, applying trust concepts to create relevant and good quality personalized recommendations trying to solve the tourist Recommender Systems issues. © 2009 Springer-Verlag Berlin Heidelberg.",Conference Paper,Bustos F.; Lopez J.; Julian V.; Rebollo M.,Multi-agent systems; Recommender systems; Trust and reputation,Multi-agent systems;Recommender systems;Trust and reputation,Spain,
,,,4,2-s2.0-84867346135,2012,Using group recommendation heuristics for the prioritization of requirements,"Group recommendation heuristics have been successfully applied in different domains such as Interactive Television and e-Tourism. Our work focuses on the improvement of requirements prioritization techniques on the basis of group recommendation technologies. First, we analyse the impact of preference visibility on the outcome of the requirements prioritization process. In this context we evaluate the resulting software quality and the satisfaction of stakeholders with the requirements prioritization. Second, we analyse standard group recommendation heuristics on a dataset originated from a study conducted at our university. Finally, we propose new heuristics to improve the prediction quality and conclude with an evaluation of the different recommendation heuristics. Copyright © 2012 by the Association for Computing Machinery, Inc. (ACM).",Conference Paper,Ninaus G.,Group decision making; Group recommendation; Recommender systems; Requirements prioritization,Group decision making;Group recommendation;Recommender systems;Requirements prioritization;Data sets;Different domains;eTourism;Group recommendations;Prediction quality;Prioritization;Software Quality;Standard groups;Computer software selection and evaluation;Quality control,Austria,
,,,4,2-s2.0-85021907034,2016,Using TMT ontology in trust based medical tourism recommender system,"Medical tourism is a domain rich of data that are stored in many hundreds of data sources. Many of these sources should be used during the development of tourism information systems. That is why, it is very important to create a referential model that represents the medical tourism in Tunisia. The e-tourism ontology provides a way to achieve integration and interoperability through the use of shared vocabulary and meanings for terms with respect to other terms. In this paper, we will create an ontology as a very expressive hierarchy of categories, populating with information from Tunisian medical tourism providers' services that represent all concepts and relations of the medical tourism in Tunisia. This ontology will be integrated in a trust based recommender system to deal with the lack of semantic information in personalized recommendation in tourism domain. © 2016 IEEE.",Conference Paper,Frikha M.; Mhiri M.; Zarai M.; Gargouri F.,Ontology; Recommender systems; Semantic web mining; Social Network; Tourism; Trust,Ontology;Recommender systems;Semantic web mining;Social Network;Tourism;Trust;Social networking (online);Data-sources;eTourism;Personalized recommendation;Semantic information;Tourism information system,Tunisia,
,,,3,2-s2.0-85030991152,2017,Affective prediction by collaborative chains in movie recommendation,"Recommender systems have been successfully applied to alleviate the information overload and assist user's decision makings. Emotional states have been demonstrated as effective factors in recommender systems. However, how to collect or predict a user's emotional state becomes one of the challenges to build affective recommender systems. In this paper, we explore and compare different solutions to predict emotions to be applied in the recommendation process. More specifically, we propose an approach named as collaborative chains. It predicts emotional states in a collaborative way and additionally takes correlations among emotions into consideration. Our experimental results based on a movie rating data demonstrate the effectiveness of affective prediction by collaborative chains in movie recommendations. © 2017 ACM.",Conference Paper,Zheng Y.,Affective computing; Collaborative chains; Context-Aware; Emotion; Recommender systems,Affective computing;Collaborative chains;Context-Aware;Emotion;Recommender systems;Chains;Decision making;Motion pictures;Emotional state;Information overloads;Movie ratings;Movie recommendations;Forecasting,United States,
,,,3,2-s2.0-85039937951,2017,A survey on recommender systems,"Nowadays mobile devices are becoming a major platform for information access and when combined with recommendation systems technologies they can become key tools for mobile users both for travel and business applications. Recommendation Systems (RSs) have been extensively utilized as a means of reducing the information overload and offering travel recommendations to tourists. The emerging mobile RSs are tailored to mobile device users and promise to substantially enrich tourist experiences, recommending rich multimedia content, context-aware services, and views/ratings of peer users. This article follows a systematic approach in reviewing the state-of-the-art in the field, proposing a classification of mobile tourism RSs and providing insights on their offered services. In this paper we review the major issues and opportunities that the mobile scenario opens to the application of recommendation systems. © 2016 IEEE.",Conference Paper,Liphoto M.; Du C.; Ngwira S.,Clustering; Recommender Systems; Sparsity,Clustering;Recommender Systems;Sparsity;Information services;Mobile devices;Mobile telecommunication systems;Multimedia services;Business applications;Context aware services;Information access;Information overloads;Mobile device users;Multimedia contents,South Africa,
,,,3,2-s2.0-84968538265,2015,Leveraging semantic web technologies for more relevant e-tourism behavioral retargeting,"The e-tourism is today an important field of the e-commerce. One specificity of this field is that consumers spend much time comparing many options on multiple websites before purchasing. It's easy for consumers to forget the viewed offers or websites. The Behavioral Retargeting (BR) is a widely used technique for online advertising. It leverages consumers' actions on advertisers' websites and displays relevant ads on publishers' websites. In this paper, we're interested in the relevance of the displayed ads in the e-tourism field. We present MERLOT 1, a Semantic-based travel destination recommender system that can be deployed to improve the relevance of BR in the e-tourism field. We conducted a preliminary experiment with the real data of a French travel agency. The results of 33 participants showed very promising results with regards to the baseline according to all used metrics. By this paper, we wish to provide a novel viewpoint to address the BR relevance problem, different from the dominating machine learning approaches.",Conference Paper,Lu C.; Stankovic M.; Laublet P.,Behavioral Retargeting; E-tourism; Recommender systems; Semantic Web; Travel destination,Behavioral Retargeting;E-tourism;Recommender systems;Semantic Web;Travel destination;Artificial intelligence;Electronic commerce;Learning systems;Websites;Wine;World Wide Web;Dominating machines;eTourism;Online advertising;Semantic Web technology;Travel agency,France,
,,,3,WOS:000448232400001,2018,Scalable data analytics using crowdsourced repositories and streams,"The scalable analysis of crowdsourced data repositories and streams has quickly become a critical experimental asset in multiple fields. It enables the systematic aggregation of otherwise disperse data sources and their efficient processing using significant amounts of computational resources. However, the considerable amount of crowdsourced social data and the numerous criteria to observe can limit analytical off-line and on-line processing due to the intrinsic computational complexity. This paper demonstrates the efficient parallelisation of profiling and recommendation algorithms using tourism crowdsourced data repositories and streams. Using the Yelp data set for restaurants, we have explored two different profiling approaches: entity-based and feature-based using ratings, comments, and location. Concerning recommendation, we use a collaborative recommendation filter employing singular value decomposition with stochastic gradient descent (SVD-SGD). To accurately compute the final recommendations, we have applied post-recommendation filters based on venue suitability, value for money, and sentiment. Additionally, we have built a social graph for enrichment. Our master-worker implementation shows super-linear scalability for 10, 20, 30, 40, 50, and 60 concurrent instances. (C) 2018 Elsevier Inc. All rights reserved.",Article,"Veloso, B.; Leal, F.; Gonzalez-Velez, H.; Malheiro, B.; Burguillo, J.C.",High performance computing; Crowdsourcing; Recommender systems; Big data; Data analytics; Parallel processing; Distributed computing; Smart tourism,High performance computing;Crowdsourcing;Recommender systems;Big data;Data analytics;Parallel processing;Distributed computing;Smart tourism;BIG DATA ANALYTICS;PARALLEL,Portugal;Spain;Ireland,
,,,3,2-s2.0-84962890368,2015,TouRS'15: Workshop on tourism recommender systems,"Tourism has been one of the most prominents fields of application of recommender systems in the last ten years.This summary gives an overview of the latest advances in the area, which have been presented in the RecSys 2015 workshop on Tourism Recommender Systems.",Conference Paper,Moreno A.; Sebastia L.; Vansteenwegen P.,Diversification; Group recommendation; Ontologies; Personalization; Planning; Recommender systems; Tourism,Diversification;Group recommendation;Ontologies;Personalization;Planning;Recommender systems;Tourism;Ontology;Group recommendations;Personalizations,Spain;Belgium,
,,,3,2-s2.0-84985931158,2014,Towards activity recommendation from lifelogs,"With the increasing availability of passive, wearable sensor devices, digital lifelogs can now be captured for individuals. Lifelogs contain a digital trace of a person's life, and are characterised by large quantities of rich contextual data. In this paper, we propose a content-based recommender system to leverage such lifelogs to suggest activities to users. We model lifelogs as timelines of chronological sequences of activity objects, and describe a recommendation framework in which a two-level distance metric is proposed to measure the similarity between current and past timelines. An initial evaluation of our activity recommender performed using a real-world lifelog dataset demonstrates the utility of our approach. Copyright 2014 ACM.",Conference Paper,Kumar G.; Jerbi H.; Gurrin C.; O'Mahony M.P.,Activity recommendation; Activity timeline matching; Lifelogging; Recommender systems,Activity recommendation;Activity timeline matching;Lifelogging;Recommender systems;Digital devices;Information analysis;Information retrieval;Web services;Websites;World Wide Web;Chronological sequences;Content-based recommender systems;Distance metrics;Life log;Real-world,Ireland,
,,,3,2-s2.0-85029225836,2017,Towards the recommendation of personalised activity sequences in the tourism domain,In this paper we consider the problem of recommending sequences of activities to a user. The proposed approach leverages the order as well as the context associated with the user's past activity patterns to make recommendations. This work extends the general activity recommendation framework proposed in[16] to iteratively recommend the next sequence of activities to perform. We demonstrate the efficacy of our recommendation framework by applying it to the tourism domain and evaluations are performed using a real-world (checkin) dataset.,Conference Paper,Kumar G.; Jerbi H.; O'Mahony M.P.,Activity recommendation; Activity timeline matching; Recommender systems; Sequence recommendation,Activity recommendation;Activity timeline matching;Recommender systems;Sequence recommendation;Activity patterns;Activity sequence;Check-in;Real-world,Ireland,
,,,2,2-s2.0-85067837314,2019,An Affect-Based Built Environment Video Analytics,"The research described in this article integrated objective and subjective human analyses of the built environment. These were conducted from two perspectives: that of an individual and that of the built environment. The development of the research design over the course of this study involved 11 phases. A research design using an integrated method with intelligent and biometrical technologies served as the basis for developing the Affect-Based Built Environment Video Analytics (BEST), the application used in this research. BEST supplies stakeholders with the required data on the built environment and can assist them in analyzing and making decisions. The authors of this article attempt to integrate human emotions into the context of the maintenance and management of the built environment. One of the key aims is the indirect participation of inhabitants in maintenance and management procedures relating to the built environment. Consequently, BEST gathers and analyzes data on human affective attitudes and emotional and physiological states in the built environment and delivers these to city planners and stakeholders in maintenance and management. This is performed by applying neuro decision tables and an inhabitant-centered method for mining human emotion data from the built environment under analysis. Finally, this article illustrates the practical capabilities of BEST by employing case studies within Vilnius City as examples. The application of BEST proves that this system is valuable in conducting successful research and practical activities. © 2019 The Authors",Article,Kaklauskas A.; Zavadskas E.K.; Bardauskiene D.; Cerkauskas J.; Ubarte I.; Seniut M.; Dzemyda G.; Kaklauskaite M.; Vinogradova I.; Velykorusova A.,Built environment; Integrated BEST method; Intelligent decision support systems; Maintenance and management; Neuro decision tables; Recommender systems; Research design,Built environment;Integrated BEST method;Intelligent decision support systems;Maintenance and management;Neuro decision tables;Recommender systems;Research design;Artificial intelligence;Curricula;Decision making;Decision support systems;Decision tables;Maintenance;Man machine systems;Integrated method;Making decision;Management procedures;Physiological state;Research designs;Environmental management,Lithuania,
,,,2,WOS:000363247800003,2015,Building an Image Annotation and Tourism Recommender System,"The interest in image annotation and recommendation has been increased due to the ever rising amount of data uploaded to the web. Despite the many efforts undertaken so far, accuracy or efficiency still remain open problems. Here, a complete image annotation and tourism recommender system is proposed. It is based on the probabilistic latent semantic analysis (PLSA) and hypergraph ranking, exploiting the visual attributes of the images and the semantic information found in image tags and geo-tags. In particular, semantic image annotation resorts to the PLSA, exploiting the textual information in image tags. It is further complemented by visual annotation based on visual image content classification. Tourist destinations, strongly related to a query image, are recommended using hypergraph ranking enhanced by enforcing group sparsity constraints. Experiments were conducted on a large image dataset of Greek sites collected from Flickr. The experimental results demonstrate the merits of the proposed model. Semantic image annotation by means of the PLSA has achieved an average precision of 92% at 10% recall. The accuracy of content-based image classification is 82,6%. An average precision of 92% is measured at 1% recall for tourism recommendation.",Article; Proceedings Paper,"Pliakos, K.; Kotropoulos, C.",Probabilistic latent semantic analysis (PLSA); clustering; image classification; image annotation; recommender systems; hypergraph,Probabilistic latent semantic analysis (PLSA);clustering;image classification;image annotation;recommender systems;hypergraph;MODEL,Greece,2-s2.0-84944520022
,,,2,2-s2.0-85048464236,2018,Curumim: A serendipitous recommender system for tourism based on human curiosity,"In recent years, an evolution of recommendation systems has been observed. New advisory systems have been gaining space, using new tools, algorithms and recommending techniques, not only to increase accuracy, but also to positively surprise the user, that is, to provide serendipitous recommendations. Following this trend, we describe CURUMIM, an online tourism recommender system, able to generate serendipitous recommendations of places around the world. In summary, from data available on social networks, it predicts the degree of curiosity of a user, which is then used, along with the user history and her level of education, to select the most appropriate recommendations. We have performed an experiment with real users who reported positive levels of satisfaction with the recommendations in terms of accuracy, serendipity and novelty. © 2017 IEEE.",Conference Paper,Menk A.; Sebastia L.; Ferreira R.,Curiosity; Personality; Recommender Systems; Serendipity; Social Networks; Tourism,Curiosity;Personality;Recommender Systems;Serendipity;Social Networks;Tourism;Artificial intelligence;Social networking (online);Advisory systems;Level of educations;User history,Spain,
,,,2,2-s2.0-84926390825,2015,Interacting and making personalized recommendations of places of interest to tourists,"Nowadays, applications that are developed to support tourists should go much further than simply providing information about places or recommending places or routes based on the user location. They should be able to provide users with simple mechanisms to interact with places of interest and provide them with relevant information and recommendations about new relevant places of interest or tours according to their preferences and the preferences of other tourists with similar interests. In this work we describe a system that explores information about tourists’ interactions with places of interest and their opinions about each place, to recommend new places of interest, pedestrian tours and to promote products and services which are in accordance with their expectations. First experiments show that the system can help the tourists to interact with places of interest, helping them in their visits and also to promote shops and services. © Springer International Publishing Switzerland 2015.",Conference Paper,Fernandes F.; Ribeiro F.R.,Mobile computing; Personalized recommendations; Pervasive systems; Recommender systems; Ubiquitous computing; Urban computing,Mobile computing;Personalized recommendations;Pervasive systems;Recommender systems;Ubiquitous computing;Urban computing;Information systems;Personalized recommendation;Products and services;Similar Interests;User location,Portugal,
,,,2,2-s2.0-85048550297,2018,Leveraging Affective Hashtags for Ranking Music Recommendations,"Mood and emotion play an important role when it comes to choosing musical tracks to listen to. In the field of music information retrieval and recommendation, emotion is considered contextual information that is hard to capture, albeit highly influential. In this study, we analyze the connection between users&#x0027; emotional states and their musical choices. Particularly, we perform a large-scale study based on two data sets containing 560,000 and 90,000 #nowplaying tweets, respectively. We extract affective contextual information from hashtags contained in these tweets by applying an unsupervised sentiment dictionary approach. Subsequently, we utilize a state-of-the-art network embedding method to learn latent feature representations of users, tracks and hashtags. Based on both the affective information and the latent features, a set of eight ranking methods is proposed. We find that relying on a ranking approach that incorporates the latent representations of users and tracks allows for capturing a user&#x0027;s general musical preferences well (regardless of used hashtags or affective information). However, for capturing context-specific preferences (a more complex and personal ranking task), we find that ranking strategies that rely on affective information and that leverage hashtags as context information outperform the other ranking strategies. IEEE",Article in Press,Zangerle E.; Chen C.; Tsai M.; Yang Y.,Data mining; Electronic mail; Emotion in music; emotion regulation; hashtags; microblogging; Music; music recommendation; ranking; Recommender systems; sentiment detection; Tagging; Task analysis; Twitter,Data mining;Electronic mail;Emotion in music;emotion regulation;hashtags;microblogging;Music;music recommendation;ranking;Recommender systems;sentiment detection;Tagging;Task analysis;Twitter;Job analysis;Emotion regulations;Micro-blogging;Sentiment detections;Electronic musical instruments,Tyrol Austria 6020 (e-mail: evazangerle@uibkacat);Taipei Taiwan (e-mail: changecandy@gmailcom);Taiwan Taiwan 11605 (e-mail: mftsai@nccuedutw);Taiwan Taiwan (e-mail: yang@citisinicaedutw),
,,,2,2-s2.0-84991112114,2016,Personality in computational advertising: A benchmark,"In the last decade, new ways of shopping online have increased the possibility of buying products and services more easily and faster than ever. In this new context, personality is a key determinant in the decision making of the consumer when shopping. A person's buying choices are influenced by psychological factors like impulsiveness; indeed some consumers may be more susceptible to making impulse purchases than others. Since affective meta-data are more closely related to the user's experience than generic parameters, accurate predictions reveal important aspects of user's attitudes, social life, including attitude of others and social identity. This work proposes a highly innovative research that uses a personality perspective to determine the unique associations among the consumer's buying tendency and advert recommendations. In fact, the lack of a publicly available benchmark for computational advertising do not allow both the exploration of this intriguing research direction and the evaluation of recent algorithms. We present the ADS Dataset, a publicly available benchmark consisting of 300 real advertisements (i.e., Rich Media Ads, Image Ads, Text Ads) rated by 120 unacquainted individuals, enriched with Big-Five users' personality factors and 1,200 personal users' pictures. Copyright held by the author(s).",Conference Paper,Roffo G.; Vinciarelli A.,Ads click prediction; Ads rating prediction; Computational advertising; Data mining; Personality traits; Recommender systems,Ads click prediction;Ads rating prediction;Computational advertising;Data mining;Personality traits;Recommender systems;Behavioral research;Decision making;Accurate prediction;Computational advertisings;Generic parameters;Innovative research;Key determinants;Products and services;Psychological factors;Marketing,Italy;United Kingdom,
,,,2,WOS:000475958000018,2019,Personalized itinerary recommendation with time constraints using GPS datasets,"Planning a personalized itinerary for an unfamiliar region requires much effort to design desirable travel plans. With the rapid development of location-based social network (LBSN) services, data mining techniques are utilized to retrieve useful information such as geographical features and social relationships. In this paper, we propose a personalized itinerary recommendation with time constraints (pirT) framework for the LBSN by exploiting geographical features and social relationships to recommend a personalized itinerary that satisfies user preferences (i.e., travel behaviors). In pirT, we have designed a user-based collaborative filtering with time preference (UTP) to explore user preferences by considering the visiting time of locations which the users have visited in our framework. UTP allows a tourist to find users with similar travel behaviors to those of the service requester in the past and to recommend interesting locations in the itineraries that these similar users have traveled to before. Subsequently, given a beginning location and a destination with a time constraint specified by the tourist, we devise the top-kA search-based recommendations and re-ranking itinerary candidate algorithms to efficiently plan the top k personalized itineraries. In the planning process, we simultaneously take account of the visiting time of locations, the transit time between locations, and the order of visiting locations. We conducted our experiments on the Gowalla dataset and demonstrated the effectiveness of our pirT framework comparing it with the personalized trip recommendation (PTR) framework. The results show that our pirT framework is superior to the PTR framework.",Article,"Hsueh, Y.L.; Huang, H.M.",Personalized itinerary recommendation; Recommender systems; Trip planning; Collaborative filtering; Location-based social networks; GPS data,Personalized itinerary recommendation;Recommender systems;Trip planning;Collaborative filtering;Location-based social networks;GPS data,Taiwan,2-s2.0-85046784209
,,,2,WOS:000485311300008,2019,Real World User Model: Evolution of User Modeling Triggered by Advances in Wearable and Ubiquitous Computing State of the Art and Future Directions,"Over the last few years, user modeling scenery is changing. With the recent advancements in ubiquitous and wearables technologies, the amount and type of data that can be gathered about users and used to build user models is expanding. User Model can now be enriched with data regarding different aspects of people's everyday lives. All these changes bring forth new research questions about the kinds of services which could be provided, the ways for effectively conveying new forms of personalisation and recommendation, and how traditional user modeling should change to exploit ubiquitous and wearable technology to provide these services. In this paper we follow the evolution of user modeling process, starting from the traditional User Model and progressing to RWUM - Real World User Model, which contains data from a person's everyday life. We tried to answer the above questions and to present a conceptual framework that represents the RWUM process, which might be used as a reference model for designing RWUM-based systems. Finally, we propose some inspiring usage scenarios and design directions that can guide researchers in designing novel, robust and versatile services based on RWUM.",Article,"Cena, F.; Likavec, S.; Rapp, A.",User modeling; Ubiquitous computing; Wearable technologies; Adaptive systems; Recommender systems; Internet of things,User modeling;Ubiquitous computing;Wearable technologies;Adaptive systems;Recommender systems;Internet of things;DYNAMIC USER;WEB;RECOGNITION;SYSTEMS;FRAMEWORK;PERSONALIZATION;RECOMMENDATION;GENERATION;MEDIATION;INTERNET,Italy,
,,,2,2-s2.0-85009162955,2015,Recommender systems supporting decision making through analysis of user emotions and personality,"The influence of emotions in decision making is a popular research topic in psychology and cognitive studies. A person facing a choosing problem has to consider different solutions and take a decision. During this process several elements influence the reasoning, some of them are rational, others are irrational, such as emotions. Recommender Systems can be used to support decision making by narrowing the space of options. Typically they do not consider irrational elements during the computational process, but recent studies show that accuracy of suggestions improves whether user's emotional state is included in the recommendation process. In this paper we propose the idea of defining a framework for an Emotion-Aware Recommender System. The user emotions will be formalized in an affective user profile which can act as an emotional computational model. The Recommender System will use the affective profile integrated with case base reasoning to compute recommendations. © 2015, CEUR-WS. All rights reserved.",Conference Paper,Polignano M.; De Gemmis M.,Emotions; Human decion making; Recommender systems,Emotions;Human decion making;Recommender systems;Artificial intelligence;Decision making;Case-base reasonings;Computational model;Computational process;Emotional state;Research topics;User emotions,Italy,
,,,2,2-s2.0-84949810187,2015,The inuence of user's emotions in recommender systems for decision making processes,"The decision making process is a very hard task to face, because a lot of external elements could inuence the final decision taken. The paper will present the inuences of emotions and personality in this task and will propose a recommender system able to take them in accounts during the recommendation process.",Conference Paper,Polignano M.,Emotions; Human Decion Making; Recommender Systems,Emotions;Human Decion Making;Recommender Systems;Concrete pavements;Decision making process;Emotions and personality;Final decision;Hard task;Decision making,Italy,
,,,2,2-s2.0-84907548930,2014,Towards the automatic recommendation of musical parameters based on algorithm for extraction of linguistic rules,"In the present article the authors describe an analysis of data associated to the emotional responses to fractal generated music. This analysis is done via discovery of rules, and it constitutes the basis to elevate computer-assisted creativity: Our ultimate goal is to create musical pieces by retrieving the right set of parameters associated to a target emotion. This paper contains the description of (i) variables associated to fractal music and emotions; (ii) the data gathering method to obtain the tuples relating input parameters and emotional responses; (iii) the rules that where discovered by using an algorithm LR-FIR. Even though similar experiments whose intention is to elucidate emotional responses from music have been reported, this study stands because a connection is appointed between fractal-generated music and emotional responses, all with the purpose of advancing in computer-assisted creativity.",Article,Espinoza F.C.; Lopez-Ortega O.; Franco-Arcega A.,Fractal music; Knowledge discovery; Recommender systems; Rules extraction,Fractal music;Knowledge discovery;Recommender systems;Rules extraction,Mexico,
,,,2,2-s2.0-85045144347,2018,User behaviour analysis in a simulated IoT augmented space*,"In this paper we present a demo application aimed at supporting the research in the field of tourism and mobility support in IoT augmented areas. The application collects tourists’ choices while browsing Points of Interest (POIs) descriptions through a map-based interface that simulates user movement between POIs. Collected observations serve two purposes: the computation and testing of recommendation strategies for POIs (both for on-line and off-line studies); the generation of simulated users’ behaviour under alternative scenario and context conditions (e.g., weather, or the presence of a novel POI). © 2018 Copyright is held by the owner/author(s).",Conference Paper,Massimo D.; Not E.; Ricci F.,IoT; Recommender systems; Simulation environment,IoT;Recommender systems;Simulation environment;Internet of things;User interfaces;Map-based interfaces;Mobility supports;Off-line studies;Points of interest;Recommendation strategies;User behaviour;User movement;Behavioral research,Italy,
